          Process Id        Arrival Time          Burst Time           Comp Time     Turnaround Time        Waiting Time       Response Time
                   0                 184                   2                   0                   0                   0                  -1
                   1                 178                   1                   0                   0                   0                  -1
                   2                 194                   1                   0                   0                   0                  -1
                   3                 187                   3                   0                   0                   0                  -1
                   4                  50                   2                   0                   0                   0                  -1
                   5                 163                   3                   0                   0                   0                  -1
                   6                  91                   5                   0                   0                   0                  -1
                   7                 164                   2                   0                   0                   0                  -1
                   8                 141                   2                   0                   0                   0                  -1
                   9                 173                   2                   0                   0                   0                  -1
                  10                  12                   4                   0                   0                   0                  -1
                  11                 168                   5                   0                   0                   0                  -1
                  12                 183                   1                   0                   0                   0                  -1
                  13                  63                   4                   0                   0                   0                  -1
                  14                  68                   1                   0                   0                   0                  -1
                  15                 130                   3                   0                   0                   0                  -1
                  16                  23                   4                   0                   0                   0                  -1
                  17                  70                   3                   0                   0                   0                  -1
                  18                 194                   2                   0                   0                   0                  -1
                  19                  12                   3                   0                   0                   0                  -1
                  20                  30                   4                   0                   0                   0                  -1
                  21                  22                   5                   0                   0                   0                  -1
                  22                 185                   3                   0                   0                   0                  -1
                  23                 199                   5                   0                   0                   0                  -1
                  24                 116                   1                   0                   0                   0                  -1
                  25                  14                   2                   0                   0                   0                  -1
                  26                  92                   1                   0                   0                   0                  -1
                  27                 157                   4                   0                   0                   0                  -1
                  28                  63                   1                   0                   0                   0                  -1
                  29                 197                   2                   0                   0                   0                  -1
                  30                 106                   1                   0                   0                   0                  -1
                  31                  85                   3                   0                   0                   0                  -1
                  32                 137                   1                   0                   0                   0                  -1
                  33                  47                   5                   0                   0                   0                  -1
                  34                 114                   3                   0                   0                   0                  -1
                  35                 125                   1                   0                   0                   0                  -1
                  36                 183                   1                   0                   0                   0                  -1
                  37                  15                   3                   0                   0                   0                  -1
                  38                  35                   5                   0                   0                   0                  -1
                  39                  44                   1                   0                   0                   0                  -1
                  40                  88                   4                   0                   0                   0                  -1
                  41                  77                   4                   0                   0                   0                  -1
                  42                 189                   5                   0                   0                   0                  -1
                  43                   4                   2                   0                   0                   0                   1
                  44                 155                   5                   0                   0                   0                  -1
                  45                 133                   1                   0                   0                   0                  -1
                  46                  77                   4                   0                   0                   0                  -1
                  47                 140                   3                   0                   0                   0                  -1
                  48                  27                   2                   0                   0                   0                  -1
                  49                  95                   5                   0                   0                   0                  -1
                  50                 196                   1                   0                   0                   0                  -1
                  51                  35                   4                   0                   0                   0                  -1
                  52                  68                   2                   0                   0                   0                  -1
                  53                  98                   3                   0                   0                   0                  -1
                  54                 118                   3                   0                   0                   0                  -1
                  55                  53                   2                   0                   0                   0                  -1
                  56                 102                   1                   0                   0                   0                  -1
                  57                  87                   2                   0                   0                   0                  -1
                  58                  66                   5                   0                   0                   0                  -1
                  59                  45                   5                   0                   0                   0                  -1
                  60                  41                   5                   0                   0                   0                  -1
                  61                  32                   3                   0                   0                   0                  -1
                  62                  98                   2                   0                   0                   0                  -1
                  63                  82                   1                   0                   0                   0                  -1
                  64                 110                   3                   0                   0                   0                  -1
                  65                 168                   2                   0                   0                   0                  -1
                  66                  98                   4                   0                   0                   0                  -1
                  67                 187                   1                   0                   0                   0                  -1
                  68                 107                   4                   0                   0                   0                  -1
